dataset,algorithm,minsup,mfis,time_ms,memory_mb
mushroom_medium,UFPMax,500,314,236,45.5
mushroom_medium,UFPMax,1000,73,86,6.0
mushroom_medium,UFPMax,1500,30,53,18.7
mushroom_medium,UFPMax,2000,14,29,9.2
mushroom_medium,UFPMax,2500,9,16,27.4
mushroom_medium,UFPMax,3000,5,12,18.7
mushroom_medium,UGenMax,500,314,134,14.7
mushroom_medium,UGenMax,1000,73,49,17.0
mushroom_medium,UGenMax,1500,30,25,11.1
mushroom_medium,UGenMax,2000,14,10,19.1
mushroom_medium,UGenMax,2500,9,7,12.5
mushroom_medium,UGenMax,3000,5,7,9.6
retail_medium,UFPMax,1000,18,164,90.3
retail_medium,UFPMax,2000,6,88,102.0
retail_medium,UFPMax,3000,4,82,100.0
retail_medium,UFPMax,5000,4,86,100.0
retail_medium,UFPMax,8000,2,75,91.0
retail_medium,UFPMax,10000,2,72,91.0
retail_medium,UGenMax,1000,18,93,67.0
retail_medium,UGenMax,2000,6,71,64.0
retail_medium,UGenMax,3000,4,60,62.0
retail_medium,UGenMax,5000,4,65,62.0
retail_medium,UGenMax,8000,2,58,59.0
retail_medium,UGenMax,10000,2,56,59.0
accidents_medium,UFPMax,20000,1285,47439,1400.7
accidents_medium,UFPMax,30000,453,23245,991.9
accidents_medium,UFPMax,40000,236,14091,803.0
accidents_medium,UFPMax,50000,154,9142,1105.0
accidents_medium,UFPMax,60000,87,6097,917.3
accidents_medium,UFPMax,70000,48,4248,872.0
accidents_medium,UGenMax,20000,1285,48751,1023.8
accidents_medium,UGenMax,30000,453,20186,1060.9
accidents_medium,UGenMax,40000,236,10706,1118.3
accidents_medium,UGenMax,50000,154,6641,959.5
accidents_medium,UGenMax,60000,87,4220,988.8
accidents_medium,UGenMax,70000,48,2733,1095.3
