dataset,algorithm,minsup,minprob,mfis,time_ms,memory_mb
mushroom_medium,TODISMAX,3000,0.5,5,519,112.7
mushroom_medium,TODISMAX,3000,0.7,5,488,160.1
mushroom_medium,TODISMAX,3000,0.9,5,522,2.2
mushroom_medium,TODISMAX,4000,0.5,3,304,87.3
mushroom_medium,TODISMAX,4000,0.7,3,292,121.2
mushroom_medium,TODISMAX,4000,0.9,3,299,11.6
mushroom_medium,TODISMAX,5000,0.5,0,21,1.2
mushroom_medium,TODISMAX,5000,0.7,0,20,1.3
mushroom_medium,TODISMAX,5000,0.9,0,25,1.3
mushroom_medium,TODISMAX,6000,0.5,0,20,1.3
mushroom_medium,TODISMAX,6000,0.7,0,26,1.3
mushroom_medium,TODISMAX,6000,0.9,0,18,1.3
mushroom_medium,TODISMAX,7000,0.5,0,16,1.3
mushroom_medium,TODISMAX,7000,0.7,0,24,1.3
mushroom_medium,TODISMAX,7000,0.9,0,20,1.3
mushroom_medium,APFIMAX,3000,0.5,5,37,8.7
mushroom_medium,APFIMAX,3000,0.7,5,30,7.9
mushroom_medium,APFIMAX,3000,0.9,5,32,6.0
mushroom_medium,APFIMAX,4000,0.5,3,23,35.0
mushroom_medium,APFIMAX,4000,0.7,3,24,34.7
mushroom_medium,APFIMAX,4000,0.9,3,22,34.7
mushroom_medium,APFIMAX,5000,0.5,0,21,32.7
mushroom_medium,APFIMAX,5000,0.7,0,19,32.7
mushroom_medium,APFIMAX,5000,0.9,0,18,32.7
mushroom_medium,APFIMAX,6000,0.5,0,20,32.7
mushroom_medium,APFIMAX,6000,0.7,0,18,32.7
mushroom_medium,APFIMAX,6000,0.9,0,22,32.7
mushroom_medium,APFIMAX,7000,0.5,0,21,32.7
mushroom_medium,APFIMAX,7000,0.7,0,19,32.7
mushroom_medium,APFIMAX,7000,0.9,0,16,32.7
retail_medium,TODISMAX,5000,0.5,4,60921,369.1
retail_medium,TODISMAX,5000,0.7,4,135278,31.6
retail_medium,TODISMAX,5000,0.9,4,62727,19.5
retail_medium,TODISMAX,10000,0.5,2,62707,334.6
retail_medium,TODISMAX,10000,0.7,2,62590,372.6
retail_medium,TODISMAX,10000,0.9,2,62751,346.3
retail_medium,TODISMAX,15000,0.5,2,64692,449.0
retail_medium,TODISMAX,15000,0.7,2,65504,417.7
retail_medium,TODISMAX,15000,0.9,2,63734,403.0
retail_medium,TODISMAX,20000,0.5,2,66368,316.3
retail_medium,TODISMAX,20000,0.7,2,63647,127.0
retail_medium,TODISMAX,20000,0.9,2,63324,393.4
retail_medium,TODISMAX,30000,0.5,0,58864,21.1
retail_medium,TODISMAX,30000,0.7,0,58673,21.1
retail_medium,TODISMAX,30000,0.9,0,58659,21.1
retail_medium,APFIMAX,5000,0.5,4,58622,53.1
retail_medium,APFIMAX,5000,0.7,4,58833,53.1
retail_medium,APFIMAX,5000,0.9,4,90843,53.1
retail_medium,APFIMAX,10000,0.5,2,118064,25.1
retail_medium,APFIMAX,10000,0.7,2,103089,25.1
retail_medium,APFIMAX,10000,0.9,2,61102,25.1
retail_medium,APFIMAX,15000,0.5,2,63992,25.1
retail_medium,APFIMAX,15000,0.7,2,65630,25.1
retail_medium,APFIMAX,15000,0.9,2,65112,25.1
retail_medium,APFIMAX,20000,0.5,2,65490,25.1
retail_medium,APFIMAX,20000,0.7,2,64380,25.1
retail_medium,APFIMAX,20000,0.9,2,62982,25.1
retail_medium,APFIMAX,30000,0.5,0,63396,21.1
retail_medium,APFIMAX,30000,0.7,0,65903,21.1
retail_medium,APFIMAX,30000,0.9,0,60787,21.1
